区分,タイトル,URL,CH名,登録者数,再生数,倍率,公開日,尺(秒),型,ヒットKW,軸,期間,言語,サムネURL
主枠,【腸活最強】漬けるだけで痩せ常備菜！きのこ４種のポン酢漬けがご飯にもパスタにも万能すぎる,https://www.youtube.com/watch?v=rfXUvxTSkzY,頑張らないひとりごはん,5060,438844,86.73,2026-04-25,341,レシピ・料理型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/rfXUvxTSkzY/maxresdefault.jpg
主枠,【9割が知らない健康雑学】朝にシナモンをとる人 ほぼ全員⚫︎⚫︎になります！聞き流し雑学,https://www.youtube.com/watch?v=QifO7VujUEU,今よりちょっと健康雑学,5700,397635,69.76,2026-02-17,273,専門家の解説型,クミン 効果 / スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/QifO7VujUEU/maxresdefault.jpg
主枠,【あなたは知ってる？】ブルーベリーの68倍！老化遅い人が密かに摂る“最強の粉”5選,https://www.youtube.com/watch?v=kNvDnGZQxbY,老化知らず研究所,2940,176832,60.15,2026-02-26,655,専門家の解説型,クミン 効果,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/kNvDnGZQxbY/maxresdefault.jpg
主枠,【保存版】実は納豆に混ぜるだけで「腐った便」が全部出て、血糖値が驚くほど改善します【知って得する健康雑学】【便秘/腸内環境/腸活/糖尿病】【聞き流し】,https://www.youtube.com/watch?v=_ADGGa3imSg,【知って得する】健康雑学,28900,1540148,53.29,2026-02-21,1009,専門家の解説型,腸活 レシピ,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/_ADGGa3imSg/maxresdefault.jpg
主枠,「緑茶の20倍の老化防止効果！」研究データも証明する『70代からでも脳と筋肉が覚醒する神食材ベスト7（スーパーで買える）※脳筋覚醒【食で長生き】,https://www.youtube.com/watch?v=dIL1zRxK46c,老後の健康案内所,2050,93990,45.85,2026-08-19,1619,専門家の解説型,スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/dIL1zRxK46c/maxresdefault.jpg
主枠,【東京 五反田】1日で200杯のカレーが消える！中毒者が続出で行列が絶えないこだわりカレー屋の仕込みに密着！,https://www.youtube.com/watch?v=arqWdexcFik,フーズラボ,1590,54768,34.45,2026-08-26,1261,レシピ・料理型,カレー粉,カレー軸,1年以内,ja,https://i.ytimg.com/vi/arqWdexcFik/maxresdefault.jpg
主枠,【医学解説】「緑茶の200倍の抗酸化力!? 中高年を若返らせる神食材と本当の若返り戦略」,https://www.youtube.com/watch?v=x9xVI5ugLBQ,ペンタのおとな健康大学 [中高年の悩み解決],16500,536717,32.53,2026-03-02,495,専門家の解説型,クミン 効果 / スパイス 効果 健康,スパイス軸,1年以内,ja,https://i.ytimg.com/vi/x9xVI5ugLBQ/maxresdefault.jpg
主枠,【血糖値200→98】 コーヒーと●●の組み合わせが糖尿病にすごい効果！血糖値・HbA1cを劇的に下げる最強の食べ物TOP5と危険な飲み方!（糖尿病・高齢者）,https://www.youtube.com/watch?v=v3NIs8SVHCM,予防先生・YouTube体質改善クリニック,35000,733820,20.97,2026-04-18,1514,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/v3NIs8SVHCM/maxresdefault.jpg
主枠,【衝撃】1万歩ウォーキングよりコレ1本でHbA1c・血糖値は下がる!?【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=ZBEJhHU6oKg,糖尿病の専門家,218000,3941856,18.08,2025-09-13,1527,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/ZBEJhHU6oKg/maxresdefault.jpg
主枠,【9割が知らない】実は納豆に混ぜるだけ!?「腐った便」が消えて血糖値が劇的に改善します!【血糖値改善/腸内環境/糖尿病予防/デトックス/便秘解消】,https://www.youtube.com/watch?v=JoIcTWJ7UQY,ズバッと知りたい雑学,14600,253848,17.39,2026-02-01,659,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/JoIcTWJ7UQY/maxresdefault.jpg
主枠,【知らないと損】毎朝食べるだけ！血糖値とHbA1cをグングン下げる食材TOP5！超意外な糖尿病を予防する最強の朝食とは？｜空腹腹時血糖対策｜体脂肪,https://www.youtube.com/watch?v=aFd12CNtj78,予防先生・YouTube体質改善クリニック,35000,554350,15.84,2026-03-28,1380,専門家の解説型,血糖値 上げない 食べ方,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/aFd12CNtj78/maxresdefault.jpg
主枠,炒めないのに甘い！ノンオイル無水カレー｜SB赤缶で作るヘルシー＆簡単スパイスカレー,https://www.youtube.com/watch?v=KOCWhYzoJBs,さこゆうのスパイスキッチン,1620,25369,15.66,2025-10-22,350,レシピ・料理型,スパイスカレー 健康,カレー軸,1年以内,ja,https://i.ytimg.com/vi/KOCWhYzoJBs/maxresdefault.jpg
主枠,【脂肪肝を改善して瘦せる】脂肪肝を改善して驚異的に痩せる裏技TOP５（脂肪肝 脂質異常症 血圧 血糖値）,https://www.youtube.com/watch?v=A1ZYg_TXY24,人生最後のダイエットチャンネル,89800,1337810,14.90,2025-10-09,1028,専門家の解説型,白米 血糖値 対策,血糖値・腸活軸,1年以内,ja,https://i.ytimg.com/vi/A1ZYg_TXY24/maxresdefault.jpg
