区分,タイトル,URL,CH名,登録者数,再生数,倍率,公開日,尺(秒),型,ヒットKW,軸,期間,言語,サムネURL
主枠,夜のドカ食いは夜に始まらない。食欲を整える10の習慣,https://www.youtube.com/watch?v=gimJ37uCMzc,雑学マッスル,8,1349,168.62,2026-07-25,558,対策・やめ方型,食欲 抑える 方法,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/gimJ37uCMzc/maxresdefault.jpg
主枠,【飲むだけで食欲コントロール】炭酸水+黄金食材!自力でマイナス10kg痩せる食材TOP5【40代女性】,https://www.youtube.com/watch?v=pmcu4qwzbjs,非常識なダイエット博士 中村です。,507,79646,157.09,2026-08-18,694,対策・やめ方型,食欲 抑える 方法,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/pmcu4qwzbjs/maxresdefault.jpg
主枠,40代・50代女性が痩せない本当の理由｜間食をやめる方法,https://www.youtube.com/watch?v=tlxZvn7bi5o,JIKIRAKU,44,6252,142.09,2026-06-11,405,対策・やめ方型,間食 やめる方法,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/tlxZvn7bi5o/maxresdefault.jpg
主枠,【保存版】実は納豆に混ぜるだけで「腐った便」が全部出て、血糖値が驚くほど改善します【知って得する健康雑学】【便秘/腸内環境/腸活/糖尿病】【聞き流し】,https://www.youtube.com/watch?v=_ADGGa3imSg,【知って得する】健康雑学,28900,1540148,53.29,2026-02-21,1009,原因・メカニズム解説型,痩せ菌 増やす,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/_ADGGa3imSg/maxresdefault.jpg
主枠,【ヲモシロ学園#21】無意識を整える「腸脳力」ー自分の身体を動かしている本当の力とは？,https://www.youtube.com/watch?v=-EYp5RIKTIM,晨のヲモシロ学園,134,5932,44.27,2026-05-28,351,原因・メカニズム解説型,腸脳相関,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/-EYp5RIKTIM/maxresdefault.jpg
主枠,食欲が止まらない人必見！簡単に食欲を抑える方法10選（医師が解説）,https://www.youtube.com/watch?v=68amtoYuZ10,東京ベレッザクリニック,48,1435,29.90,2025-09-10,509,対策・やめ方型,食欲 抑える 方法,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/68amtoYuZ10/maxresdefault.jpg
主枠,古代人類はなぜ、命がけで甘いものを求めたのか｜蜂蜜と人類の百万年,https://www.youtube.com/watch?v=OACKbqfmXfE,人類のナゾ,1720,33942,19.73,2026-07-21,2082,原因・メカニズム解説型,甘いもの やめられない,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/OACKbqfmXfE/maxresdefault.jpg
主枠,甘いものがやめられないのは体からのSOS信号！本当の原因と対策を医師が解説,https://www.youtube.com/watch?v=PV6_6IKebns,【ハッピードクター】松永敦の健康クリニック,26200,451547,17.23,2026-04-03,1040,原因・メカニズム解説型,甘いもの やめられない / 糖質依存,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/PV6_6IKebns/maxresdefault.jpg
主枠,アメリカ若者の“激甘ドリンク習慣”が止まらない 若者の健康がヤバい,https://www.youtube.com/watch?v=rd3etGcr2g4,アメリカトレンド,2310,37406,16.19,2025-12-08,376,対策・やめ方型,砂糖 中毒,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/rd3etGcr2g4/maxresdefault.jpg
主枠,5万人見て気づいた！ダイエット中でも満足できるおやつ,https://www.youtube.com/watch?v=f9gL7H_oysE,芝田美香 - 痩せない女性のダイエット,71,1059,14.92,2026-08-30,755,対策・やめ方型,間食 やめる方法,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/f9gL7H_oysE/maxresdefault.jpg
主枠,【地獄】砂糖断ち1ヶ月チャレンジの末路がヤバすぎた【有益まとめ】,https://www.youtube.com/watch?v=BbrZsfj-Qks,2ch風ライフハック屋さん,338,4943,14.62,2025-10-09,596,対策・やめ方型,砂糖 中毒,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/BbrZsfj-Qks/maxresdefault.jpg
主枠,【海外の反応】アメリカで大流行「糖尿病コーヒー」…若者の健康がヤバい！砂糖の塊のことをコーヒーと呼び出す人たちに衝撃,https://www.youtube.com/watch?v=bFXYnBaXIlg,ニュースアメリカ,372,5134,13.80,2026-01-13,267,原因・メカニズム解説型,砂糖 中毒,欲求・依存軸,1年以内,ja,https://i.ytimg.com/vi/bFXYnBaXIlg/maxresdefault.jpg
主枠,【腸が健康をつくる】健康な人と病気の人の「腸」はまったく違う?/“便移植”で特定の病気が劇的に改善された実績がある？/健康な人の便を移植すると“生理機能”に影響を与える!?｜田中渓×服部正平【前編】,https://www.youtube.com/watch?v=_xUQSm4g5KM,オナカのチカラ【腸活】チャンネル,20300,203728,10.04,2025-11-13,1216,対策・やめ方型,短鎖脂肪酸 / 腸内細菌 食欲,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/_xUQSm4g5KM/maxresdefault.jpg
主枠,【朝1個食べるだけ】寝起きにコレを食べたらスルスル体重・体脂肪・血糖値が落ちました【糖尿病専門クリニック現役医師】,https://www.youtube.com/watch?v=0MeYZ3q4n5o,糖尿病の専門家,218000,2042658,9.37,2026-01-10,950,原因・メカニズム解説型,3時のおやつ 血糖値,血糖・甘味料軸,1年以内,ja,https://i.ytimg.com/vi/0MeYZ3q4n5o/maxresdefault.jpg
主枠,痩せるにはデブ菌を減らし、痩せ菌を増やせ！運動・食事制限で痩せないならこれしかない,https://www.youtube.com/watch?v=mnq59vmc194,陰山Dr お腹の先生,120000,1067233,8.89,2025-11-12,1871,原因・メカニズム解説型,痩せ菌 増やす,腸・菌軸,1年以内,ja,https://i.ytimg.com/vi/mnq59vmc194/maxresdefault.jpg
