区分,公開日,タイトル,動画URL,再生数,高評価数,コメント数,動画尺(秒),対平均倍率(直近1年長尺)
長尺,2026-09-19,【ビタミン完全解説】13種類の役割と、腸活のプロが実際に飲んでいるサプリ,https://www.youtube.com/watch?v=aUFlVRWiSp4,12837,103,5,1169,0.27
長尺,2026-09-15,【コストコ腸活】夏の疲れが抜けない人におすすめしたい11個の最強商品【Costco】,https://www.youtube.com/watch?v=5UZTPhUfOkw,23036,142,6,1130,0.49
長尺,2026-09-12,【衝撃】我慢しても甘いもの欲は消えない！止めるのは意志ではなく腸内細菌でした,https://www.youtube.com/watch?v=AegK2UCycKs,23518,168,5,980,0.50
長尺,2026-09-08,【コストコ爆買い】ヘトヘトのカメラマンに腸活のプロが最強食材を買ってあげました【Costco】,https://www.youtube.com/watch?v=j32qv35W2C4,114748,391,22,1741,2.44
長尺,2026-09-05,【衝撃】腸に最悪だと思っていたカレーが、実は最強の腸活食でした【腸活スパイスカレー】,https://www.youtube.com/watch?v=OAacUF8rW2M,57692,426,35,1025,1.23
長尺,2026-09-01,【キムチ腸活】プロがスーパーで買える10商品を格付けしたら衝撃な結果に..,https://www.youtube.com/watch?v=6MI7GRKuo6k,143953,541,47,1079,3.06
長尺,2026-08-29,【あなたの便は何タイプ？】腸活で本当に見るべきは食事より便でした,https://www.youtube.com/watch?v=2fRJPA8MBKw,16523,189,19,1209,0.35
長尺,2026-08-25,【睡眠不足じゃない】寝ても疲れが取れない人の腸活,https://www.youtube.com/watch?v=O2qpRQFrvqo,18572,171,3,1051,0.40
長尺,2026-08-22,【健康診断で引っかかった人】コレステロールが高い人ほど知っておきたい腸活とは？,https://www.youtube.com/watch?v=vDFa_tknpz8,12122,123,6,1094,0.26
長尺,2026-08-18,【おならが臭い人】腸活のプロが教える「臭い」の原因と今すぐできる対策5選,https://www.youtube.com/watch?v=noE952NPTl8,13636,212,9,1126,0.29
長尺,2026-08-15,【大戸屋で腸活】健康そうに見えても要注意？腸活のプロが本気で選ぶベスト5,https://www.youtube.com/watch?v=5SuO_jQnxUM,8665,41,11,1332,0.18
長尺,2026-08-11,【2026年最新】痩せ菌がない方が効く！？腸活のプロが教えるダイエット腸活,https://www.youtube.com/watch?v=TzjgkADSGtw,12105,86,15,1077,0.26
長尺,2026-08-08,【結論】コーヒーは腸活に良い？悪い？プロが最新のデータをもとに白黒つけます,https://www.youtube.com/watch?v=HTONG32Uirk,23985,234,21,1074,0.51
長尺,2026-08-04,【警告】お酒を飲むと腸内で何が起きる？腸活のプロが数千人分のデータで判明した衝撃の結果をお伝えします,https://www.youtube.com/watch?v=m3vg3hVYZiU,31274,152,21,1153,0.67
長尺,2026-08-01,【豆乳腸活】プロが市販で買える豆乳を徹底比較！毎日飲むならどれを選ぶ？,https://www.youtube.com/watch?v=gojq1SlETuM,25301,244,23,1397,0.54
長尺,2026-07-28,【iHerb腸活】赤ちゃん・IBS・便秘に効くおすすめ海外サプリ5選が凄すぎた...,https://www.youtube.com/watch?v=K-Dkn0HqG_Q,18943,250,11,866,0.40
長尺,2026-07-25,【納豆腸活】スーパーで買える9種類をガチ比較してわかった衝撃の事実...,https://www.youtube.com/watch?v=-dj7GRjfols,35501,399,42,1308,0.76
長尺,2026-07-21,【鉄不足】健康診断では見落とされる...健康のために飲む鉄剤が腸を壊していた…,https://www.youtube.com/watch?v=Ttb-1FEtIIg,10793,174,13,1223,0.23
長尺,2026-07-18,【最強の腸活チェーン店】プロが“最高”と絶賛した「しんぱち食堂」で選ぶべき定食5選,https://www.youtube.com/watch?v=aKDOIIfaiV8,8169,127,25,1087,0.17
長尺,2026-07-14,【コスパ最強】業務スーパーで腸活を極めたプロがおすすめする最強食品7選,https://www.youtube.com/watch?v=Mdv8karYiA8,16387,212,14,917,0.35
長尺,2026-07-11,【徹底分析】元・ゴールドマンサックス田中渓の腸内を覗いてみたら、驚きの結果が出ました...,https://www.youtube.com/watch?v=Myd4I8gvQoY,27858,471,15,1276,0.59
長尺,2026-07-07,【お茶で腸活】腸活のプロが毎日飲むおすすめのお茶6選,https://www.youtube.com/watch?v=n0Xc-VZBbWU,21740,313,33,1252,0.46
長尺,2026-07-04,【超一流の習慣】元ゴールドマンサックス田中渓のルーティンを腸活のプロが徹底解説,https://www.youtube.com/watch?v=6kfVqAVPL0M,44517,617,15,1283,0.95
長尺,2026-06-30,【腸活におすすめの水】便秘・下痢・胃もたれを解消する正しい水の選び方を徹底解説,https://www.youtube.com/watch?v=D5apYCSVsnw,22014,328,15,1403,0.47
長尺,2026-06-27,【イライラ解消】なぜか怒りっぽいあなたのストレスを腸活のプロが即効で消します！,https://www.youtube.com/watch?v=-iUN_L6dDO4,6206,118,11,1057,0.13
長尺,2026-06-23,【加齢臭・ワキガ】若いからと油断できない！腸活のプロが教える体臭ニオイ対策,https://www.youtube.com/watch?v=2bDFJP6G5VI,12558,221,22,963,0.27
長尺,2026-06-20,【ガストで腸活】ファミレスは体に悪いは嘘！？プロが実際に頼む最強メニュー8選,https://www.youtube.com/watch?v=4CbE6o4QEHA,8488,121,14,1227,0.18
長尺,2026-06-16,【スタバで腸活】プロがおすすめするダイエットにも効くスターバックスの頼み方を大公開【Starbucks】,https://www.youtube.com/watch?v=VrSNwHnIfRI,28140,470,37,1621,0.60
