区分,公開日,タイトル,動画URL,再生数,高評価数,コメント数,動画尺(秒),対平均倍率(直近1年長尺)
長尺,2026-09-17,【ルームツアー】靴を脱がないと入れない新潟の老舗寝具店を7代目がご案内します！,https://www.youtube.com/watch?v=1xNngRunc4E,1334,23,0,1204,0.03
長尺,2026-09-10,【1日密着】五十嵐圭が業界26年布団屋社長に睡眠を学ぶワケ【新潟アルビレックスBB】,https://www.youtube.com/watch?v=Jm4KQo0px_w,1707,18,3,1262,0.04
長尺,2026-09-03,【マットレスおすすめ2026】腰痛・肩こり・寝返り・蒸れ…悩み別最強マットレス7選を寝具のプロが格付け！,https://www.youtube.com/watch?v=HVbSFNLV6ow,11037,41,3,1058,0.26
長尺,2026-08-27,【知らないと損】枕はランキングで選ぶな！寝具のプロが教える正しい選び方,https://www.youtube.com/watch?v=iTApDoCt9Ws,4482,37,5,1108,0.10
長尺,2026-08-20,【衝撃】寝てるのに疲れる…睡眠を1週間測定したらその驚きの原因がわかりました！,https://www.youtube.com/watch?v=jA0-olB2-Fw,885,25,1,1014,0.02
長尺,2026-08-13,【夏の掛け布団】寝具のプロが実際に使う3種類を公開！梅雨・真夏・夏の終わりの使い分けを解説,https://www.youtube.com/watch?v=GEPqqrUBByU,2276,50,0,1212,0.05
長尺,2026-08-06,【2026年最新版】ニトリ・無印・西川徹底解説！絶対失敗しないおすすめ5万円マットレス5選！,https://www.youtube.com/watch?v=qaL8hdL8_ak,9374,82,0,1024,0.22
長尺,2026-07-30,【2026年版】寝具のプロが本当に使う敷きパッドおすすめ3選を教えます！,https://www.youtube.com/watch?v=u3EBtNjB_-c,7072,107,0,1033,0.17
長尺,2026-07-23,【要注意】知らずに使うと大後悔！羽毛布団をコインランドリーで洗う前に見てください…,https://www.youtube.com/watch?v=VaqxT9Lhtwg,36678,143,7,1345,0.86
長尺,2026-07-16,【夏のエアコン】9割が誤解してる夏の睡眠の新常識を業界26年のプロが徹底解説！,https://www.youtube.com/watch?v=ZxHUK156ibM,69257,748,50,1218,1.62
長尺,2026-07-09,【買う前に見て】店頭で寝ても合わない理由...マットレスを選ぶ際に見るべきポイントをプロが徹底解説！,https://www.youtube.com/watch?v=Ufg6gjCZlQs,4489,72,2,1201,0.10
長尺,2026-07-02,【徹底解説】オーダー枕が完成するまでの全工程を完全公開！買う前に必ず見てください！,https://www.youtube.com/watch?v=ZjuwLlTHIZY,1752,46,2,1502,0.04
長尺,2026-06-25,【天日干しでダニ対策は嘘】プロがやらない寝具のNGお手入れ法5選が衝撃的でした！,https://www.youtube.com/watch?v=uOB2RbIb1to,8304,130,6,1097,0.19
長尺,2026-06-18,【2026年最新】ニトリ・無印・西川の敷きパッドを徹底比較！暑い夏に買うならどれ？,https://www.youtube.com/watch?v=moTKv1s2w0o,41830,420,19,973,0.98
長尺,2026-06-11,【60代以上必見】知らないと損するマットレスNG7選を寝具のプロが徹底解説！【朝の不調・腰痛・睡眠】,https://www.youtube.com/watch?v=W84yshrr_fk,13474,164,4,1117,0.31
長尺,2026-06-04,今のマットレスに敷くだけ！おすすめのトッパーマットレス3選を徹底比較！【トゥルースリーパー・エアウィーヴ・西川】,https://www.youtube.com/watch?v=9PjunWxle2A,15872,147,6,1449,0.37
長尺,2026-05-28,【コアラ・NELL・西川エアー】本当に合うマットレスの選び方を業界26年のプロが解説,https://www.youtube.com/watch?v=E5cmOvRV3sw,6005,35,1,963,0.14
長尺,2026-05-21,【三つ折りマットレスおすすめ5選】西川・コアラ・エアウィーヴを寝具のプロが徹底比較！,https://www.youtube.com/watch?v=dnOPOPzK5g8,64996,482,29,1362,1.52
長尺,2026-05-14,【リカバリーウェア3選】忖度まるで無し！業界26年のプロが実際に来ているウェアはコレ！【ワークマン・TENTIAL・VENEX】,https://www.youtube.com/watch?v=IZZEwaNTGZg,49348,235,10,1280,1.15
長尺,2026-05-07,【5万・7万・10万円台】西川エアーvs昭和西川ムアツを業界26年寝具のプロが徹底比較！,https://www.youtube.com/watch?v=yJ4TBpHneYQ,23283,175,13,1398,0.54
長尺,2026-04-30,【Nスリープ完全ガイド】おすすめニトリマットレスを業界26年のプロが徹底解説します！,https://www.youtube.com/watch?v=v-qhXC4YFQA,17976,120,9,1144,0.42
長尺,2026-04-23,【これだけ見れば大丈夫】失敗しない羽毛布団の洗い方3選をプロが徹底解説！,https://www.youtube.com/watch?v=EAqkYsh6buM,5596,61,0,1188,0.13
長尺,2026-04-16,【保存版】9割が知らないなぜが眠れない春夏NG布団3選を業界26年プロが徹底解説,https://www.youtube.com/watch?v=eVqMXn1_DSQ,9888,155,7,1100,0.23
長尺,2026-04-09,【騙される前に見て】業界26年のプロは羽毛布団リフォームをここで頼みます！,https://www.youtube.com/watch?v=G7Rkl2UN7wU,5481,105,4,1400,0.13
長尺,2026-04-02,【保存版】業界26年プロが自分にも家族にも買わない冷感寝具5選,https://www.youtube.com/watch?v=SdMpuQTbomg,238561,2706,131,1394,5.58
長尺,2026-03-26,【大暴露】本当は言いにくい...オーダー枕を買ってはいけないお店5選,https://www.youtube.com/watch?v=Y12o6IBqeHI,8454,99,4,1132,0.20
長尺,2026-03-19,【保存版】羽毛リフォームするべき？布団を捨てる人の9割が知らない事実をプロが解説します！,https://www.youtube.com/watch?v=2wO5s3-N8fc,35914,307,11,1074,0.84
長尺,2026-03-12,【保存版】エアーSXマットレスの失敗しない選び方と合わない人の特徴をプロが徹底解説！,https://www.youtube.com/watch?v=HB5TFCZTgdw,11622,87,9,1247,0.27
長尺,2026-03-05,【大暴露】西川専門店の店主がエアーマットレスの口コミに全部答えます！,https://www.youtube.com/watch?v=7c98ZM3_UTE,18607,175,10,1213,0.43
長尺,2026-02-26,【2026年最新】ニトリ・西川徹底比較！おすすめ毛布5選をプロが大公開！,https://www.youtube.com/watch?v=7ZBUpy4bdxE,6475,117,2,1403,0.15
長尺,2026-02-19,【コスパ最強】損をしない枕選びとおすすめの5種類をプロが徹底比較,https://www.youtube.com/watch?v=blKmomgyV-Y,26762,211,2,1160,0.63
長尺,2026-02-12,【ニトリ無印西川】羽毛布団の中身を寝具屋が比較したら衝撃の差が出ました！,https://www.youtube.com/watch?v=J3fC5OPZaXA,415659,4876,337,1348,9.71
